3938 3948
2536 1098 13
3749 1291 6
3480 2607 11
3720 600 8
2990 1134 10
1467 2572 18
2868 3606 7
279 2578 12
561 1296 17
1102 3119 7
2981 1283 8
3778 2515 13
3853 3177 10
3582 1135 5
777 2057 15
201 993 7
601 3516 7
2143 1844 11
3366 3445 17
2862 2469 13
2039 2156 11
2653 1658 20
2665 3769 14
620 1949 5
2667 3054 9
339 2292 19
1456 3261 11
210 1562 14
704 3219 19
1107 2919 17
1853 2323 6
1722 623 12
3905 1767 10
2510 3083 8
3199 2215 20
1057 540 8
365 2114 8
127 2916 8
1772 3075 9
2125 1728 11
73 569 18
1716 1619 16
3273 2839 18
923 3183 16
2624 3663 7
3215 2448 17
958 2580 5
515 498 19
2076 2490 11
3547 3436 18
2012 1122 8
3718 2365 15
3557 3909 20
3113 612 5
3222 2246 12
78 2909 17
2342 3056 11
1457 2854 11
1623 3159 16
3120 896 9
2068 1030 17
3060 2929 15
149 2154 19
633 1139 11
3420 1402 11
1910 161 5
3746 2538 9
934 429 11
857 747 8
178 1094 12
102 3770 8
3129 759 15
771 185 20
1940 83 19
1991 257 6
2225 2773 8
3838 2199 14
43 970 19
1789 3267 9
616 591 19
673 583 15
473 2691 10
3524 1753 16
1694 180 10
3857 3635 11
3594 1579 18
1904 2935 16
676 2178 18
3042 3833 11
3596 2117 8
1031 3568 17
2420 2066 13
1903 1851 10
24 2689 17
1416 1349 16
2560 2880 13
1342 3379 17
1388 3763 17
3016 305 19
3883 30 9
3360 3389 6
3513 3881 15
1255 2232 20
1780 827 11
1244 1389 18
2307 461 17
1805 3847 20
1804 2359 10
2374 3004 9
154 1214 20
900 202 10
3544 2491 11
1208 3008 17
935 2022 9
3080 1058 15
1679 177 15
3069 2089 15
3716 1734 11
3217 3642 14
2114 729 9
2157 2321 10
1182 3323 5
3697 378 7
750 3282 8
126 1497 5
1154 3718 7
2691 2296 20
1491 3254 13
2410 3668 9
2753 3071 7
1214 2635 12
2804 3039 20
1586 1478 15
2550 132 18
3570 2099 12
3530 1246 5
1732 387 20
2314 1764 6
780 2821 6
80 3745 5
139 2720 6
2616 868 6
3322 164 10
3367 2224 16
3511 2174 16
3540 2836 6
1414 943 7
2561 2230 5
3914 2606 11
3371 3705 6
2631 3685 6
1052 3264 17
3274 1708 17
1162 2631 5
1180 3314 19
2720 1820 9
1185 1849 11
1981 3163 18
2183 3577 8
196 3694 9
3528 1106 5
460 3023 13
229 109 5
397 3296 18
792 2788 11
288 2378 11
426 1692 6
1893 2707 6
1247 942 16
2955 3469 14
1930 129 19
338 3447 6
2409 222 19
3611 1531 19
2344 1469 19
1600 2430 16
2907 684 16
3782 1754 18
3036 1120 6
3240 1789 13
3373 714 5
2110 3519 19
2309 3893 50
3074 2604 7
3143 172 17
3115 496 7
839 1505 18
3548 687 11
1015 139 13
1167 2961 18
2286 2748 20
795 2939 13
1753 1520 17
152 1229 9
235 2831 8
3585 1488 8
1557 1864 16
794 3230 15
1650 715 13
535 586 9
1351 3191 6
2853 3693 7
1233 3390 18
3839 1514 10
3824 1046 17
2590 3097 15
2664 3549 15
2997 1600 14
3392 206 7
394 3294 6
2765 340 16
1012 549 16
1042 3226 20
2991 1571 9
939 1383 13
726 3753 10
297 1831 11
3034 61 11
3296 3778 11
2069 517 8
650 3289 11
2516 1621 15
793 2817 13
3430 2075 5
325 735 12
3404 1846 16
3201 3479 12
1516 464 6
1644 1766 13
963 3733 13
2703 1003 10
1087 2733 10
1866 3537 12
71 3169 7
3630 717 13
727 3089 11
1545 3412 14
285 3641 19
2305 1984 16
1092 1165 12
3370 408 19
2708 2282 7
3422 1542 12
3447 3161 11
1069 3765 16
3762 2231 8
1901 3569 18
740 1697 11
3351 837 11
2018 1225 7
1986 2932 5
3345 1426 20
3341 3420 6
1823 3771 15
559 3291 14
2333 902 11
1988 1746 7
97 403 16
3020 1415 10
766 241 8
1956 2327 17
245 3337 5
1335 332 8
843 3780 12
3127 3158 18
37 848 14
3175 2568 16
2541 2652 14
1973 3331 10
1833 2304 9
3486 1021 7
257 2671 16
2776 198 14
2575 718 18
2877 2709 13
3709 3144 19
1337 3184 8
716 659 6
722 972 9
1978 1141 10
1612 3189 12
2239 2205 7
1744 446 8
1407 3147 17
2806 18 20
396 1260 9
3760 1570 10
1731 1945 17
3265 2078 11
1939 1747 13
1711 1527 7
646 1582 20
1265 321 20
1972 2440 17
1452 22 13
1401 2618 7
3867 2805 15
1870 3359 6
1549 3825 19
1807 3861 18
3006 3776 9
435 487 14
227 1209 8
3485 3682 7
3346 389 20
305 3017 6
1128 1983 13
3065 3853 14
3912 1597 6
2572 2802 16
3320 3222 12
2910 2610 12
449 2101 11
3618 708 10
3654 2424 6
62 3307 14
1263 186 8
3152 891 7
3666 1242 10
368 402 17
2785 3709 7
375 2977 19
270 3385 20
3713 2613 11
1520 2037 8
2112 3423 13
2944 792 17
1132 3655 8
3627 1019 17
2147 3381 9
1282 1068 7
3646 799 16
3899 3910 15
1622 107 5
2578 3092 5
2359 3110 15
1221 291 18
1629 2449 9
3380 210 20
819 1586 12
2948 438 17
2379 2746 15
525 3621 15
2133 854 7
199 3602 18
2292 2135 20
534 1224 15
1538 1643 12
653 2888 14
1147 3804 6
3771 3310 20
3604 2642 10
1561 829 14
2887 2086 18
3502 2517 17
1938 1374 18
3474 2840 18
2639 3035 12
1168 1940 6
3766 3181 19
3363 135 18
3323 1457 17
1913 3738 16
3375 3774 7
2090 3876 13
2817 423 7
2010 2577 12
682 1381 16
2548 3339 16
72 3250 9
3087 1027 17
3425 777 11
3291 1076 12
3784 3 12
3157 2858 15
2230 3751 15
1080 2626 19
2626 2647 8
104 2545 7
2108 1819 8
3027 790 10
3701 3470 19
643 3551 19
2813 2265 6
3192 3003 20
964 1805 20
1262 472 20
2924 2495 16
606 898 5
3093 48 14
2537 2486 8
640 3394 6
936 572 6
3200 610 9
3468 2141 15
2532 466 20
2540 1325 14
1314 2021 6
1787 652 10
436 2064 11
973 812 20
2517 1498 11
1359 370 11
3076 1470 13
1133 2807 13
1355 3900 15
3055 3689 16
2695 1904 7
2162 2967 20
1976 294 14
2749 3810 16
3104 1810 19
1851 686 8
826 1528 15
1195 420 16
1725 1509 14
1578 2822 16
2927 2007 17
3671 3600 19
1352 372 7
1019 3726 7
364 29 19
1113 3870 6
807 3072 16
2299 2681 14
3148 3844 8
810 1199 5
1899 2346 14
3527 337 5
2938 3489 10
3562 3626 12
3352 531 14
3407 3596 16
2476 826 10
2881 1474 13
513 3871 6
1432 9 16
711 382 8
1082 3687 19
332 100 12
2348 1093 11
2291 1156 16
3471 832 12
2650 1327 20
859 1556 19
3287 941 5
2518 1745 13
3706 1550 19
1917 215 19
3399 3425 14
277 752 5
3595 133 11
744 3504 13
476 504 19
1741 2765 8
226 1648 10
3865 2434 17
2647 314 7
3805 404 13
2654 1056 13
3848 3611 20
406 1683 14
2303 2997 11
3564 298 12
2446 3371 19
89 2492 19
1841 3367 16
2474 1112 12
1209 3886 8
1189 2630 11
3246 1566 7
1198 831 15
1845 2380 19
1902 926 17
1254 682 14
1674 1839 12
1799 1804 17
3798 3748 18
1758 3442 15
3543 3045 13
2611 3913 7
1065 3153 20
3884 1817 7
1270 255 8
3904 1124 8
3368 1190 17
3049 3363 17
1348 3164 18
2042 1128 19
2249 3465 12
216 407 19
3571 3691 17
482 2489 11
1996 1025 8
2130 1202 6
306 3603 7
2831 3236 10
3088 1077 12
2511 1417 20
1329 247 13
1547 1974 5
2968 803 11
1700 773 15
2649 3656 6
18 500 7
3817 3814 6
2966 566 16
3936 662 12
1760 1256 5
121 2268 18
2046 2273 9
567 3016 18
3735 2715 7
3459 3318 11
3015 3020 19
2932 108 15
3610 633 16
725 1320 9
1637 148 11
106 1087 6
2201 554 9
538 3334 16
1073 3845 16
1026 2458 19
761 3010 18
96 2379 18
2325 2582 7
2809 931 6
2973 1427 12
2791 2049 5
1393 699 14
3860 3615 11
3800 2473 16
3617 644 13
2530 1422 14
3466 1699 7
186 2914 20
2922 1879 19
1170 3055 17
3059 1000 17
2176 2984 12
763 3895 13
2727 208 16
903 1435 16
3667 2262 20
2777 1493 14
518 2474 17
3095 971 10
2854 3332 16
2760 2204 8
3906 2933 13
970 1560 12
1192 3565 16
1824 2046 16
3221 3029 6
3656 1287 12
2218 2940 15
2931 3756 11
3063 1755 19
205 1205 7
1519 266 16
1923 3257 16
2234 3800 5
3112 3705 8
1039 3637 16
574 5 11
3814 547 15
342 784 13
2507 2512 10
563 1363 5
837 2688 17
1877 259 11
2285 3567 6
1333 3375 70750
1539 2697 12
2404 349 7
1088 1886 8
495 2290 6
776 1354 19
1589 3620 12
508 1576 15
114 608 18
3919 3067 8
3692 1706 13
2250 542 14
3727 1616 19
723 1496 15
2915 3788 5
1038 2413 14
2830 2209 5
284 2137 7
1696 81 12
2724 3622 9
1230 2186 13
3389 153 9
146 358 18
1628 1575 20
1479 1429 9
914 2803 18
2229 1028 8
762 474 15
13 775 12
2070 1522 11
995 2242 5
3094 1002 9
1532 2641 20
1793 1737 6
944 460 15
1249 3798 5
295 299 18
3085 458 15
2447 1250 19
1443 3241 6
635 2644 15
374 3698 15
1257 1691 14
1055 879 16
2104 445 11
1152 997 7
1424 2890 14
2980 2574 17
328 1554 18
3190 2023 7
2441 1744 19
3551 2741 12
1834 2256 5
560 2841 20
1018 315 10
2725 2044 5
3098 1345 17
3390 175 15
1354 2187 20
1130 658 20
381 2437 13
3198 1652 12
1693 3357 8
926 988 20
1322 1618 9
2883 2544 20
1646 3402 8
666 1883 7
3935 2782 14
1801 3590 10
3847 3018 6
3685 607 7
282 3305 12
3298 3889 13
3280 1661 8
644 3262 9
3565 2786 8
1667 2038 17
1374 2566 18
1301 1177 20
1605 3773 20
60 493 16
3204 1890 15
3316 551 11
1151 1500 19
181 2138 14
1064 2553 19
497 1142 20
3797 1312 18
784 2145 19
218 1976 6
5 3417 9
87 3920 12
1344 3319 10
264 1994 19
3637 199 11
3599 2989 19
2529 2537 7
2783 578 20
1473 3460 14
3665 1434 12
2856 2330 16
2282 3729 17
2154 2335 18
2593 545 19
2755 1587 18
2999 2039 9
2049 364 7
2315 1140 20
1487 1975 18
3648 3554 12
3071 1482 15
1569 3782 10
2906 1645 6
3388 234 6
3353 900 12
3832 2472 16
2119 1405 20
2657 2499 11
948 2342 14
3068 2169 18
932 1197 10
3350 2368 7
1286 457 20
2615 1906 17
3102 3091 13
144 647 19
852 3768 18
2002 279 12
3503 1573 12
3932 1277 13
1219 1704 15
2385 2020 9
1556 1585 11
1702 3271 13
1681 157 14
3186 92 5
1967 1092 10
2584 2370 12
503 2051 7
115 794 10
2265 3182 19
250 3665 15
985 3382 13
1062 1421 14
3335 482 6
1640 3583 10
12 0 19
2177 3830 18
577 1772 18
1378 3564 18
1963 3536 17
3810 2226 11
2739 2400 10
899 483 12
454 350 15
2945 1911 8
2815 2322 16
1405 2254 7
2052 1302 6
603 1453 12
3584 1682 5
3897 176 5
2858 3573 20
1829 903 20
2986 66 12
881 3040 20
2380 974 19
2621 1868 18
81 398 18
3128 805 17
44 1779 16
1383 3553 16
1197 3575 19
2137 2987 18
3164 2426 9
605 2214 17
1947 574 13
1684 3457 7
2041 1884 14
764 3444 5
3442 1826 15
3764 712 19
1499 2579 8
3046 1089 5
415 2563 17
649 846 8
2623 920 9
3153 3898 10
2471 3376 9
2216 2995 10
2237 165 12
1854 3248 18
1706 538 16
500 3076 15
1001 2213 5
871 188 17
2705 225 11
2094 3885 12
483 3384 10
274 2260 8
2521 2306 7
3460 489 15
1356 2313 7
2958 1160 10
2445 1479 15
2186 3160 19
815 1660 19
1211 2806 7
1885 2711 8
617 1400 16
2115 749 5
1231 501 14
1635 2283 10
112 3293 18
98 919 14
3750 3903 17
341 901 16
1318 3672 14
1476 3921 20
2358 3775 13
2947 582 9
3924 17 13
1204 1370 6
2857 3669 14
2376 2505 14
3470 1425 6
2028 2676 7
1671 769 9
1641 1944 18
1006 51 18
327 3587 82528
1562 3588 20
206 3277 12
345 415 19
634 785 17
3629 1863 5
3135 1590 8
2826 929 18
221 2731 13
272 3101 5
444 1398 15
3446 1462 10
539 1673 9
3037 1379 7
693 1630 7
532 2404 7
547 3623 9
3561 2988 12
757 2195 16
3498 1837 12
3881 978 19
1620 3653 20
2036 1606 8
1481 3560 16
2833 2003 8
1665 15 7
3783 3477 8
2168 2236 6
767 3300 6
546 2649 10
2542 310 19
3895 440 11
585 295 8
2747 3428 13
1076 213 8
501 2349 9
1944 377 16
3158 381 7
2413 2455 19
3417 2736 13
1033 3344 9
2144 2042 5
894 1856 13
681 494 15
3456 3212 11
1028 2048 9
2645 3902 15
1435 589 5
3815 1731 7
90 3290 16
1594 1577 12
352 1611 14
46 1907 15
880 1047 13
1292 3107 15
1278 2756 16
2202 2431 19
1486 539 7
3393 2068 16
2583 2153 12
1291 3227 12
3330 839 20
1160 1078 12
2151 3706 20
838 3734 18
260 3707 19
743 804 18
2711 2225 17
3239 2797 10
2161 3171 14
3232 2586 20
3210 1894 19
310 2845 19
3623 1544 15
2185 301 12
2453 1163 8
3213 201 17
613 791 20
3737 859 5
2206 1893 18
2688 3146 20
3105 2111 13
33 2341 17
1090 1716 18
346 2755 16
1773 2727 12
347 1350 18
1631 1375 8
31 2704 20
2078 2054 9
2175 3542 5
2391 999 5
846 3466 14
1838 2949 10
2205 32 11
2310 1150 7
760 1015 13
2577 2924 5
1406 2509 5
3214 3493 9
3494 3342 15
1527 1276 17
1985 2077 7
2134 2952 13
3843 1178 8
1832 2002 8
1911 1996 18
2573 3105 5
2407 2897 6
1739 3848 6
3103 1110 9
2571 1314 7
3053 2826 17
1 954 20
253 2110 7
828 2467 10
3728 173 10
3314 1188 13
1084 1259 16
2676 103 7
2098 3328 7
3863 2445 17
2491 1513 16
2889 2207 8
2040 1785 7
420 3006 20
1662 1869 13
135 130 18
2123 2945 17
3279 2112 10
2355 3570 20
542 1565 15
2827 1612 6
75 3209 7
1225 1693 18
1074 1937 5
876 1213 11
2814 670 6
2832 13 8
2152 1795 5
1315 431 17
2372 8 5
169 621 8
952 1634 16
2729 771 20
983 2943 13
3730 2056 9
1212 3374 15
236 680 14
1920 1323 14
242 3732 14
2918 546 17
2469 2627 10
999 2457 10
1704 485 6
557 1186 6
2969 795 9
3421 1681 5
3391 1796 7
1034 3819 15
57 2422 15
1709 3316 17
3359 1836 19
3661 2922 13
2414 2643 13
788 2753 18
3624 2573 10
303 1171 6
2576 624 8
2730 3741 15
3675 3288 7
3423 2087 18
2412 1126 15
2591 1882 11
2967 1243 11
2784 3812 5
511 1640 20
3639 998 15
938 1114 7
746 611 14
3788 251 7
1215 2593 13
3872 3937 13
1630 1880 18
3873 1348 13
2182 417 8
3773 2575 7
3302 2809 11
2554 1698 13
2850 3607 8
690 2864 19
2238 3506 8
911 1561 14
354 2668 20
3251 2107 7
1984 3535 13
3189 1635 18
1580 3863 10
3311 3312 10
1127 1993 6
2075 2560 7
3748 3088 7
2799 3223 6
608 2910 9
3321 2082 19
321 124 11
3489 1136 17
1728 3273 7
3039 1217 10
239 96 17
2712 968 8
3268 2739 10
596 3349 17
3516 1108 20
2388 2744 14
471 969 12
1791 789 20
2741 2503 5
2400 815 20
2651 1285 14
652 2651 8
2526 1668 11
1205 3563 11
182 1605 11
3738 232 12
1559 3767 14
1912 50 20
231 512 18
472 2648 8
119 435 17
2007 587 7
654 3524 19
1897 391 8
3307 2009 8
1106 1609 14
395 3500 19
3132 688 18
624 2188 12
747 271 18
2995 2463 9
3786 1918 14
2974 1308 9
1754 3918 12
1571 3203 15
334 117 8
752 934 12
3538 2210 16
2195 1538 7
545 1756 14
781 2673 10
1321 754 9
2387 52 9
543 2193 8
1872 3432 15
2481 1153 17
3657 2131 11
576 740 16
103 1800 8
2875 3111 17
3926 1059 12
77 1455 19
986 3894 13
2823 760 17
3531 155 8
3864 2957 8
3101 1473 16
1490 2980 19
980 3744 8
2895 2825 7
2920 3892 17
1227 3027 14
1191 3145 8
2224 536 17
